1,홍길동,69,89,73,231,77,1
2,유관순,72,51,98,221,73.6666666667,1
3,이순신,95,68,99,262,87.3333333333,1
4,강감찬,56,83,52,191,63.6666666667,1
5,김구,80,82,58,220,73.3333333333,1
6,김유신,60,62,99,221,73.6666666667,1
7,홍길자,73,84,77,234,78,1
8,홍길순,84,80,98,262,87.3333333333,1
9,vtewkesbury8,86,55,58,199,66.3333333333,1
10,emcbride9,54,93,57,204,68,1
11,rbeagleya,75,62,75,212,70.6666666667,1
12,tplaydonb,97,74,70,241,80.3333333333,1
13,smcmylorc,54,87,50,191,63.6666666667,1
14,cfreezord,67,95,69,231,77,1
15,bbandeye,77,68,99,244,81.3333333333,1
16,hmccarlyf,84,82,60,226,75.3333333333,1
17,amigheleg,69,57,76,202,67.3333333333,1
18,halesioh,84,96,82,262,87.3333333333,1
19,ojedrachowiczi,70,93,64,227,75.6666666667,1
20,dalvaradoj,68,93,57,218,72.6666666667,1
